0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Merion 13-3,,
Election Day,454,"1,072"
Mail-in,440,"1,072"
Provisional,5,"1,072"
Total,899,"1,072"
Lower Moreland 1,,
Election Day,873,"1,705"
Mail-in,536,"1,705"
Provisional,11,"1,705"
Total,"1,420","1,705"
Lower Moreland 2,,
Election Day,934,"1,465"
Mail-in,303,"1,465"
Provisional,5,"1,465"
Total,"1,242","1,465"
Lower Moreland 3,,
Election Day,"1,192","2,093"
Mail-in,514,"2,093"
Provisional,24,"2,093"
Total,"1,730","2,093"
Lower Moreland 4-1,,
Election Day,605,901
Mail-in,168,901
Provisional,3,901
Total,776,901
Lower Moreland 4-2,,
Election Day,670,"1,047"
Mail-in,212,"1,047"
Provisional,8,"1,047"
Total,890,"1,047"
