precinct,method,candidate,votes
Lower Merion 7-3,Total,LEILA HAZOU(GRE),12
Lower Merion 7-3,Total,MARTY SELKER(CON),0
Lower Merion 7-3,Total,UnresolvedWrite-In,0
Lower Merion 8-1,Election Day,JOHN C THOMAS(LIB),****
Lower Merion 8-1,Election Day,LEILA HAZOU(GRE),****
Lower Merion 8-1,Election Day,MARTY SELKER(CON),****
Lower Merion 8-1,Election Day,UnresolvedWrite-In,****
Lower Merion 8-1,Mail-in,JOHN C THOMAS(LIB),****
Lower Merion 8-1,Mail-in,LEILA HAZOU(GRE),****
Lower Merion 8-1,Mail-in,MARTY SELKER(CON),****
Lower Merion 8-1,Mail-in,UnresolvedWrite-In,****
Lower Merion 8-1,Provisional,JOHN C THOMAS(LIB),****
Lower Merion 8-1,Provisional,LEILA HAZOU(GRE),****
Lower Merion 8-1,Provisional,MARTY SELKER(CON),****
Lower Merion 8-1,Provisional,UnresolvedWrite-In,****
Lower Merion 8-1,Total,JOHN C THOMAS(LIB),2
Lower Merion 8-1,Total,LEILA HAZOU(GRE),3
Lower Merion 8-1,Total,MARTY SELKER(CON),0
Lower Merion 8-1,Total,UnresolvedWrite-In,0
Lower Merion 8-2,Election Day,JOHN C THOMAS(LIB),****
Lower Merion 8-2,Election Day,LEILA HAZOU(GRE),****
Lower Merion 8-2,Election Day,MARTY SELKER(CON),****
Lower Merion 8-2,Election Day,UnresolvedWrite-In,****
Lower Merion 8-2,Mail-in,JOHN C THOMAS(LIB),****
Lower Merion 8-2,Mail-in,LEILA HAZOU(GRE),****
Lower Merion 8-2,Mail-in,MARTY SELKER(CON),****
Lower Merion 8-2,Mail-in,UnresolvedWrite-In,****
Lower Merion 8-2,Provisional,JOHN C THOMAS(LIB),****
Lower Merion 8-2,Provisional,LEILA HAZOU(GRE),****
Lower Merion 8-2,Provisional,MARTY SELKER(CON),****
Lower Merion 8-2,Provisional,UnresolvedWrite-In,****
Lower Merion 8-2,Total,JOHN C THOMAS(LIB),6
Lower Merion 8-2,Total,LEILA HAZOU(GRE),4
Lower Merion 8-2,Total,MARTY SELKER(CON),0
Lower Merion 8-2,Total,UnresolvedWrite-In,0
Lower Merion 8-3,Election Day,JOHN C THOMAS(LIB),****
Lower Merion 8-3,Election Day,LEILA HAZOU(GRE),****
Lower Merion 8-3,Election Day,MARTY SELKER(CON),****
Lower Merion 8-3,Election Day,UnresolvedWrite-In,****
Lower Merion 8-3,Mail-in,JOHN C THOMAS(LIB),****
Lower Merion 8-3,Mail-in,LEILA HAZOU(GRE),****
Lower Merion 8-3,Mail-in,MARTY SELKER(CON),****
Lower Merion 8-3,Mail-in,UnresolvedWrite-In,****
Lower Merion 8-3,Provisional,JOHN C THOMAS(LIB),****
Lower Merion 8-3,Provisional,LEILA HAZOU(GRE),****
Lower Merion 8-3,Provisional,MARTY SELKER(CON),****
Lower Merion 8-3,Provisional,UnresolvedWrite-In,****
Lower Merion 8-3,Total,JOHN C THOMAS(LIB),4
Lower Merion 8-3,Total,LEILA HAZOU(GRE),2
Lower Merion 8-3,Total,MARTY SELKER(CON),1
Lower Merion 8-3,Total,UnresolvedWrite-In,0
