precinct,method,candidate,votes
Springfield 2-3,Election Day,JOHN C THOMAS(LIB),****
Springfield 2-3,Election Day,LEILA HAZOU(GRE),****
Springfield 2-3,Election Day,MARTY SELKER(CON),****
Springfield 2-3,Election Day,UnresolvedWrite-In,****
Springfield 2-3,Mail-in,JOHN C THOMAS(LIB),****
Springfield 2-3,Mail-in,LEILA HAZOU(GRE),****
Springfield 2-3,Mail-in,MARTY SELKER(CON),****
Springfield 2-3,Mail-in,UnresolvedWrite-In,****
Springfield 2-3,Provisional,JOHN C THOMAS(LIB),****
Springfield 2-3,Provisional,LEILA HAZOU(GRE),****
Springfield 2-3,Provisional,MARTY SELKER(CON),****
Springfield 2-3,Provisional,UnresolvedWrite-In,****
Springfield 2-3,Total,JOHN C THOMAS(LIB),3
Springfield 2-3,Total,LEILA HAZOU(GRE),5
Springfield 2-3,Total,MARTY SELKER(CON),0
Springfield 2-3,Total,UnresolvedWrite-In,0
Springfield 3-1,Election Day,JOHN C THOMAS(LIB),****
Springfield 3-1,Election Day,LEILA HAZOU(GRE),****
Springfield 3-1,Election Day,MARTY SELKER(CON),****
Springfield 3-1,Election Day,UnresolvedWrite-In,****
Springfield 3-1,Mail-in,JOHN C THOMAS(LIB),****
Springfield 3-1,Mail-in,LEILA HAZOU(GRE),****
Springfield 3-1,Mail-in,MARTY SELKER(CON),****
Springfield 3-1,Mail-in,UnresolvedWrite-In,****
Springfield 3-1,Provisional,JOHN C THOMAS(LIB),****
Springfield 3-1,Provisional,LEILA HAZOU(GRE),****
Springfield 3-1,Provisional,MARTY SELKER(CON),****
Springfield 3-1,Provisional,UnresolvedWrite-In,****
Springfield 3-1,Total,JOHN C THOMAS(LIB),11
Springfield 3-1,Total,LEILA HAZOU(GRE),6
Springfield 3-1,Total,MARTY SELKER(CON),4
Springfield 3-1,Total,UnresolvedWrite-In,1
Springfield 3-2,Election Day,JOHN C THOMAS(LIB),9
Springfield 3-2,Election Day,LEILA HAZOU(GRE),4
Springfield 3-2,Election Day,MARTY SELKER(CON),1
Springfield 3-2,Election Day,UnresolvedWrite-In,0
Springfield 3-2,Mail-in,JOHN C THOMAS(LIB),2
Springfield 3-2,Mail-in,LEILA HAZOU(GRE),2
Springfield 3-2,Mail-in,MARTY SELKER(CON),2
Springfield 3-2,Mail-in,UnresolvedWrite-In,0
Springfield 3-2,Provisional,JOHN C THOMAS(LIB),0
Springfield 3-2,Provisional,LEILA HAZOU(GRE),1
Springfield 3-2,Provisional,MARTY SELKER(CON),0
Springfield 3-2,Provisional,UnresolvedWrite-In,0
Springfield 3-2,Total,JOHN C THOMAS(LIB),11
Springfield 3-2,Total,LEILA HAZOU(GRE),7
Springfield 3-2,Total,MARTY SELKER(CON),3
Springfield 3-2,Total,UnresolvedWrite-In,0
Springfield 4-1,Election Day,JOHN C THOMAS(LIB),****
Springfield 4-1,Election Day,LEILA HAZOU(GRE),****
Springfield 4-1,Election Day,MARTY SELKER(CON),****
Springfield 4-1,Election Day,UnresolvedWrite-In,****
Springfield 4-1,Mail-in,JOHN C THOMAS(LIB),****
Springfield 4-1,Mail-in,LEILA HAZOU(GRE),****
Springfield 4-1,Mail-in,MARTY SELKER(CON),****
Springfield 4-1,Mail-in,UnresolvedWrite-In,****
Springfield 4-1,Provisional,JOHN C THOMAS(LIB),****
Springfield 4-1,Provisional,LEILA HAZOU(GRE),****
Springfield 4-1,Provisional,MARTY SELKER(CON),****
Springfield 4-1,Provisional,UnresolvedWrite-In,****
Springfield 4-1,Total,JOHN C THOMAS(LIB),9
Springfield 4-1,Total,LEILA HAZOU(GRE),6
Springfield 4-1,Total,MARTY SELKER(CON),1
Springfield 4-1,Total,UnresolvedWrite-In,1
Springfield 4-2,Election Day,JOHN C THOMAS(LIB),****
Springfield 4-2,Election Day,LEILA HAZOU(GRE),****
Springfield 4-2,Election Day,MARTY SELKER(CON),****
Springfield 4-2,Election Day,UnresolvedWrite-In,****
Springfield 4-2,Mail-in,JOHN C THOMAS(LIB),****
Springfield 4-2,Mail-in,LEILA HAZOU(GRE),****
Springfield 4-2,Mail-in,MARTY SELKER(CON),****
Springfield 4-2,Mail-in,UnresolvedWrite-In,****
Springfield 4-2,Provisional,JOHN C THOMAS(LIB),****
Springfield 4-2,Provisional,LEILA HAZOU(GRE),****
Springfield 4-2,Provisional,MARTY SELKER(CON),****
Springfield 4-2,Provisional,UnresolvedWrite-In,****
Springfield 4-2,Total,JOHN C THOMAS(LIB),6
Springfield 4-2,Total,LEILA HAZOU(GRE),6
Springfield 4-2,Total,MARTY SELKER(CON),2
Springfield 4-2,Total,UnresolvedWrite-In,0
Springfield 5-1,Election Day,JOHN C THOMAS(LIB),****
Springfield 5-1,Election Day,LEILA HAZOU(GRE),****
Springfield 5-1,Election Day,MARTY SELKER(CON),****
Springfield 5-1,Election Day,UnresolvedWrite-In,****
Springfield 5-1,Mail-in,JOHN C THOMAS(LIB),****
Springfield 5-1,Mail-in,LEILA HAZOU(GRE),****
Springfield 5-1,Mail-in,MARTY SELKER(CON),****
Springfield 5-1,Mail-in,UnresolvedWrite-In,****
Springfield 5-1,Provisional,JOHN C THOMAS(LIB),****
Springfield 5-1,Provisional,LEILA HAZOU(GRE),****
Springfield 5-1,Provisional,MARTY SELKER(CON),****
Springfield 5-1,Provisional,UnresolvedWrite-In,****
Springfield 5-1,Total,JOHN C THOMAS(LIB),13
Springfield 5-1,Total,LEILA HAZOU(GRE),9
Springfield 5-1,Total,MARTY SELKER(CON),3
Springfield 5-1,Total,UnresolvedWrite-In,1
