precinct,method,candidate,votes
East Greenville,Election Day,ASHLEY EHASZ(DEM),446
East Greenville,Election Day,BRIAN FITZPATRICK(REP),770
East Greenville,Mail-in,ASHLEY EHASZ(DEM),238
East Greenville,Mail-in,BRIAN FITZPATRICK(REP),99
East Greenville,Provisional,ASHLEY EHASZ(DEM),8
East Greenville,Provisional,BRIAN FITZPATRICK(REP),8
East Greenville,Total,ASHLEY EHASZ(DEM),692
East Greenville,Total,BRIAN FITZPATRICK(REP),877
Hatfield Borough,Election Day,ASHLEY EHASZ(DEM),****
Hatfield Borough,Election Day,BRIAN FITZPATRICK(REP),****
Hatfield Borough,Mail-in,ASHLEY EHASZ(DEM),****
Hatfield Borough,Mail-in,BRIAN FITZPATRICK(REP),****
Hatfield Borough,Provisional,ASHLEY EHASZ(DEM),****
Hatfield Borough,Provisional,BRIAN FITZPATRICK(REP),****
Hatfield Borough,Total,ASHLEY EHASZ(DEM),782
Hatfield Borough,Total,BRIAN FITZPATRICK(REP),812
Pennsburg,Election Day,ASHLEY EHASZ(DEM),****
Pennsburg,Election Day,BRIAN FITZPATRICK(REP),****
Pennsburg,Mail-in,ASHLEY EHASZ(DEM),****
Pennsburg,Mail-in,BRIAN FITZPATRICK(REP),****
Pennsburg,Provisional,ASHLEY EHASZ(DEM),****
Pennsburg,Provisional,BRIAN FITZPATRICK(REP),****
Pennsburg,Total,ASHLEY EHASZ(DEM),807
Pennsburg,Total,BRIAN FITZPATRICK(REP),"1,053"
Red Hill,Election Day,ASHLEY EHASZ(DEM),355
Red Hill,Election Day,BRIAN FITZPATRICK(REP),662
Red Hill,Mail-in,ASHLEY EHASZ(DEM),269
Red Hill,Mail-in,BRIAN FITZPATRICK(REP),133
Red Hill,Provisional,ASHLEY EHASZ(DEM),4
Red Hill,Provisional,BRIAN FITZPATRICK(REP),6
Red Hill,Total,ASHLEY EHASZ(DEM),628
Red Hill,Total,BRIAN FITZPATRICK(REP),801
Souderton 1,Election Day,ASHLEY EHASZ(DEM),****
Souderton 1,Election Day,BRIAN FITZPATRICK(REP),****
Souderton 1,Mail-in,ASHLEY EHASZ(DEM),****
Souderton 1,Mail-in,BRIAN FITZPATRICK(REP),****
Souderton 1,Provisional,ASHLEY EHASZ(DEM),****
Souderton 1,Provisional,BRIAN FITZPATRICK(REP),****
Souderton 1,Total,ASHLEY EHASZ(DEM),563
Souderton 1,Total,BRIAN FITZPATRICK(REP),752
