0,1,2
Precinct,Times Cast,"Registered 
Voters"
Upper Merion King 2,,
Election Day,767,"1,495"
Mail-in,288,"1,495"
Provisional,17,"1,495"
Total,"1,072","1,495"
Upper Merion Roberts,,
Election Day,"1,011","2,062"
Mail-in,790,"2,062"
Provisional,12,"2,062"
Total,"1,813","2,062"
Upper Merion Swedeland,,
Election Day,379,585
Mail-in,82,585
Provisional,7,585
Total,468,585
Upper Merion Swedesburg,,
Election Day,383,579
Mail-in,87,579
Provisional,9,579
Total,479,579
Upper Merion Town Center,,
Election Day,"1,170","2,862"
Mail-in,831,"2,862"
Provisional,29,"2,862"
Total,"2,030","2,862"
Upper Moreland 1-1,,
Election Day,963,"1,693"
Mail-in,369,"1,693"
Provisional,2,"1,693"
Total,"1,334","1,693"
