0,1,2
Precinct,Times Cast,"Registered 
Voters"
Abington 1-1,,
Election Day,712,"1,411"
Mail-in,476,"1,411"
Provisional,5,"1,411"
Total,"1,193","1,411"
Abington 1-2,,
Election Day,494,954
Mail-in,327,954
Provisional,12,954
Total,833,954
Abington 1-3,,
Election Day,682,"1,211"
Mail-in,361,"1,211"
Provisional,15,"1,211"
Total,"1,058","1,211"
Abington 2-1,,
Election Day,723,"1,260"
Mail-in,318,"1,260"
Provisional,10,"1,260"
Total,"1,051","1,260"
Abington 2-2,,
Election Day,446,"1,178"
Mail-in,385,"1,178"
Provisional,3,"1,178"
Total,834,"1,178"
Abington 2-3,,
Election Day,407,708
Mail-in,187,708
Provisional,6,708
Total,600,708
