0,1,2
Precinct,Times Cast,"Registered 
Voters"
Upper Dublin 2-2,,
Election Day,458,758
Mail-in,234,758
Provisional,2,758
Total,694,758
Upper Dublin 2-3,,
Election Day,636,"1,309"
Mail-in,453,"1,309"
Provisional,4,"1,309"
Total,"1,093","1,309"
Upper Dublin 3-1,,
Election Day,"1,191","2,380"
Mail-in,876,"2,380"
Provisional,14,"2,380"
Total,"2,081","2,380"
Upper Dublin 3-2,,
Election Day,780,"1,224"
Mail-in,309,"1,224"
Provisional,7,"1,224"
Total,"1,096","1,224"
Upper Dublin 4-1,,
Election Day,534,877
Mail-in,225,877
Provisional,5,877
Total,764,877
Upper Dublin 4-2,,
Election Day,736,"1,207"
Mail-in,267,"1,207"
Provisional,18,"1,207"
Total,"1,021","1,207"
