precinct,method,candidate,votes
Norristown 3-2,Election Day,Christin PowersQualified Write In,0
Norristown 3-2,Election Day,Richard RootQualified Write In,0
Norristown 3-2,Election Day,Suzie ScottQualified Write In,0
Norristown 3-2,Election Day,Edward ShlikasQualified Write In,0
Norristown 3-2,Election Day,Christopher StriedQualified Write In,0
Norristown 3-2,Election Day,Alix C. Toulme Jr.Qualified Write In,0
Norristown 3-2,Election Day,UnresolvedWrite-In,1
Norristown 3-2,Mail-in,Christin PowersQualified Write In,0
Norristown 3-2,Mail-in,Richard RootQualified Write In,0
Norristown 3-2,Mail-in,Suzie ScottQualified Write In,0
Norristown 3-2,Mail-in,Edward ShlikasQualified Write In,0
Norristown 3-2,Mail-in,Christopher StriedQualified Write In,0
Norristown 3-2,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
Norristown 3-2,Mail-in,UnresolvedWrite-In,1
Norristown 3-2,Provisional,Christin PowersQualified Write In,0
Norristown 3-2,Provisional,Richard RootQualified Write In,0
Norristown 3-2,Provisional,Suzie ScottQualified Write In,0
Norristown 3-2,Provisional,Edward ShlikasQualified Write In,0
Norristown 3-2,Provisional,Christopher StriedQualified Write In,0
Norristown 3-2,Provisional,Alix C. Toulme Jr.Qualified Write In,0
Norristown 3-2,Provisional,UnresolvedWrite-In,0
Norristown 3-2,Total,Christin PowersQualified Write In,0
Norristown 3-2,Total,Richard RootQualified Write In,0
Norristown 3-2,Total,Suzie ScottQualified Write In,0
Norristown 3-2,Total,Edward ShlikasQualified Write In,0
Norristown 3-2,Total,Christopher StriedQualified Write In,0
Norristown 3-2,Total,Alix C. Toulme Jr.Qualified Write In,0
Norristown 3-2,Total,UnresolvedWrite-In,2
Norristown 3-3,Election Day,Christin PowersQualified Write In,****
Norristown 3-3,Election Day,Richard RootQualified Write In,****
Norristown 3-3,Election Day,Suzie ScottQualified Write In,****
Norristown 3-3,Election Day,Edward ShlikasQualified Write In,****
Norristown 3-3,Election Day,Christopher StriedQualified Write In,****
Norristown 3-3,Election Day,Alix C. Toulme Jr.Qualified Write In,****
Norristown 3-3,Election Day,UnresolvedWrite-In,****
Norristown 3-3,Mail-in,Christin PowersQualified Write In,****
Norristown 3-3,Mail-in,Richard RootQualified Write In,****
Norristown 3-3,Mail-in,Suzie ScottQualified Write In,****
Norristown 3-3,Mail-in,Edward ShlikasQualified Write In,****
Norristown 3-3,Mail-in,Christopher StriedQualified Write In,****
Norristown 3-3,Mail-in,Alix C. Toulme Jr.Qualified Write In,****
Norristown 3-3,Mail-in,UnresolvedWrite-In,****
Norristown 3-3,Provisional,Christin PowersQualified Write In,****
Norristown 3-3,Provisional,Richard RootQualified Write In,****
Norristown 3-3,Provisional,Suzie ScottQualified Write In,****
Norristown 3-3,Provisional,Edward ShlikasQualified Write In,****
Norristown 3-3,Provisional,Christopher StriedQualified Write In,****
Norristown 3-3,Provisional,Alix C. Toulme Jr.Qualified Write In,****
Norristown 3-3,Provisional,UnresolvedWrite-In,****
Norristown 3-3,Total,Christin PowersQualified Write In,0
Norristown 3-3,Total,Richard RootQualified Write In,0
Norristown 3-3,Total,Suzie ScottQualified Write In,0
Norristown 3-3,Total,Edward ShlikasQualified Write In,0
Norristown 3-3,Total,Christopher StriedQualified Write In,0
Norristown 3-3,Total,Alix C. Toulme Jr.Qualified Write In,0
Norristown 3-3,Total,UnresolvedWrite-In,5
Norristown 4-1,Election Day,Christin PowersQualified Write In,0
Norristown 4-1,Election Day,Richard RootQualified Write In,0
Norristown 4-1,Election Day,Suzie ScottQualified Write In,0
Norristown 4-1,Election Day,Edward ShlikasQualified Write In,0
Norristown 4-1,Election Day,Christopher StriedQualified Write In,0
Norristown 4-1,Election Day,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-1,Election Day,UnresolvedWrite-In,1
Norristown 4-1,Mail-in,Christin PowersQualified Write In,0
Norristown 4-1,Mail-in,Richard RootQualified Write In,0
Norristown 4-1,Mail-in,Suzie ScottQualified Write In,0
Norristown 4-1,Mail-in,Edward ShlikasQualified Write In,0
Norristown 4-1,Mail-in,Christopher StriedQualified Write In,0
Norristown 4-1,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-1,Mail-in,UnresolvedWrite-In,0
Norristown 4-1,Provisional,Christin PowersQualified Write In,0
Norristown 4-1,Provisional,Richard RootQualified Write In,0
Norristown 4-1,Provisional,Suzie ScottQualified Write In,0
Norristown 4-1,Provisional,Edward ShlikasQualified Write In,0
Norristown 4-1,Provisional,Christopher StriedQualified Write In,0
Norristown 4-1,Provisional,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-1,Provisional,UnresolvedWrite-In,0
Norristown 4-1,Total,Christin PowersQualified Write In,0
Norristown 4-1,Total,Richard RootQualified Write In,0
Norristown 4-1,Total,Suzie ScottQualified Write In,0
Norristown 4-1,Total,Edward ShlikasQualified Write In,0
Norristown 4-1,Total,Christopher StriedQualified Write In,0
Norristown 4-1,Total,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-1,Total,UnresolvedWrite-In,1
Norristown 4-2,Election Day,Christin PowersQualified Write In,0
Norristown 4-2,Election Day,Richard RootQualified Write In,0
Norristown 4-2,Election Day,Suzie ScottQualified Write In,0
Norristown 4-2,Election Day,Edward ShlikasQualified Write In,0
Norristown 4-2,Election Day,Christopher StriedQualified Write In,0
Norristown 4-2,Election Day,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-2,Election Day,UnresolvedWrite-In,2
Norristown 4-2,Mail-in,Christin PowersQualified Write In,0
Norristown 4-2,Mail-in,Richard RootQualified Write In,0
Norristown 4-2,Mail-in,Suzie ScottQualified Write In,0
Norristown 4-2,Mail-in,Edward ShlikasQualified Write In,0
Norristown 4-2,Mail-in,Christopher StriedQualified Write In,0
Norristown 4-2,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-2,Mail-in,UnresolvedWrite-In,1
Norristown 4-2,Provisional,Christin PowersQualified Write In,0
Norristown 4-2,Provisional,Richard RootQualified Write In,0
Norristown 4-2,Provisional,Suzie ScottQualified Write In,0
Norristown 4-2,Provisional,Edward ShlikasQualified Write In,0
Norristown 4-2,Provisional,Christopher StriedQualified Write In,0
Norristown 4-2,Provisional,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-2,Provisional,UnresolvedWrite-In,0
Norristown 4-2,Total,Christin PowersQualified Write In,0
Norristown 4-2,Total,Richard RootQualified Write In,0
Norristown 4-2,Total,Suzie ScottQualified Write In,0
Norristown 4-2,Total,Edward ShlikasQualified Write In,0
Norristown 4-2,Total,Christopher StriedQualified Write In,0
Norristown 4-2,Total,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-2,Total,UnresolvedWrite-In,3
Norristown 4-3,Election Day,Christin PowersQualified Write In,0
Norristown 4-3,Election Day,Richard RootQualified Write In,0
Norristown 4-3,Election Day,Suzie ScottQualified Write In,0
Norristown 4-3,Election Day,Edward ShlikasQualified Write In,0
Norristown 4-3,Election Day,Christopher StriedQualified Write In,0
Norristown 4-3,Election Day,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-3,Election Day,UnresolvedWrite-In,2
Norristown 4-3,Mail-in,Christin PowersQualified Write In,0
Norristown 4-3,Mail-in,Richard RootQualified Write In,0
Norristown 4-3,Mail-in,Suzie ScottQualified Write In,0
Norristown 4-3,Mail-in,Edward ShlikasQualified Write In,0
Norristown 4-3,Mail-in,Christopher StriedQualified Write In,0
Norristown 4-3,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-3,Mail-in,UnresolvedWrite-In,2
Norristown 4-3,Provisional,Christin PowersQualified Write In,0
Norristown 4-3,Provisional,Richard RootQualified Write In,0
Norristown 4-3,Provisional,Suzie ScottQualified Write In,0
Norristown 4-3,Provisional,Edward ShlikasQualified Write In,0
Norristown 4-3,Provisional,Christopher StriedQualified Write In,0
Norristown 4-3,Provisional,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-3,Provisional,UnresolvedWrite-In,0
Norristown 4-3,Total,Christin PowersQualified Write In,0
Norristown 4-3,Total,Richard RootQualified Write In,0
Norristown 4-3,Total,Suzie ScottQualified Write In,0
Norristown 4-3,Total,Edward ShlikasQualified Write In,0
Norristown 4-3,Total,Christopher StriedQualified Write In,0
Norristown 4-3,Total,Alix C. Toulme Jr.Qualified Write In,0
Norristown 4-3,Total,UnresolvedWrite-In,4
North Wales 1,Election Day,Christin PowersQualified Write In,****
North Wales 1,Election Day,Richard RootQualified Write In,****
North Wales 1,Election Day,Suzie ScottQualified Write In,****
North Wales 1,Election Day,Edward ShlikasQualified Write In,****
North Wales 1,Election Day,Christopher StriedQualified Write In,****
